MAMH           |        ID|NOIDUNG                                                                                                                                                                                                                                                                                                     |A                                                                                                   |B                                                                                                   |C                                                                                                   |D                                                                                                   |A|S
INT1339        |0000000001|Cau hoi 1 cua mon Lap trinh C++ (INT1339)                                                                                                                                                                                                                                                                   |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1339        |0000000002|Cau hoi 2 cua mon Lap trinh C++ (INT1339)                                                                                                                                                                                                                                                                   |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1339        |0000000003|Cau hoi 3 cua mon Lap trinh C++ (INT1339)                                                                                                                                                                                                                                                                   |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1339        |0000000004|Cau hoi 4 cua mon Lap trinh C++ (INT1339)                                                                                                                                                                                                                                                                   |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1339        |0000000005|Cau hoi 5 cua mon Lap trinh C++ (INT1339)                                                                                                                                                                                                                                                                   |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1339        |0000000006|Cau hoi 6 cua mon Lap trinh C++ (INT1339)                                                                                                                                                                                                                                                                   |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1339        |0000000007|Cau hoi 7 cua mon Lap trinh C++ (INT1339)                                                                                                                                                                                                                                                                   |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
INT1339        |0000000008|Cau hoi 8 cua mon Lap trinh C++ (INT1339)                                                                                                                                                                                                                                                                   |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1339        |0000000009|Cau hoi 9 cua mon Lap trinh C++ (INT1339)                                                                                                                                                                                                                                                                   |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1339        |0000000010|Cau hoi 10 cua mon Lap trinh C++ (INT1339)                                                                                                                                                                                                                                                                  |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT13145       |0000000011|Cau hoi 1 cua mon Cau truc du lieu va giai thuat (INT13145)                                                                                                                                                                                                                                                 |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT13145       |0000000012|Cau hoi 2 cua mon Cau truc du lieu va giai thuat (INT13145)                                                                                                                                                                                                                                                 |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT13145       |0000000013|Cau hoi 3 cua mon Cau truc du lieu va giai thuat (INT13145)                                                                                                                                                                                                                                                 |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT13145       |0000000014|Cau hoi 4 cua mon Cau truc du lieu va giai thuat (INT13145)                                                                                                                                                                                                                                                 |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT13145       |0000000015|Cau hoi 5 cua mon Cau truc du lieu va giai thuat (INT13145)                                                                                                                                                                                                                                                 |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT13145       |0000000016|Cau hoi 6 cua mon Cau truc du lieu va giai thuat (INT13145)                                                                                                                                                                                                                                                 |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT13145       |0000000017|Cau hoi 7 cua mon Cau truc du lieu va giai thuat (INT13145)                                                                                                                                                                                                                                                 |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
